url,titleLen,descLen,canonOk,h1Count,schemas,internalLinks,externalLinks,issues
/bra-size-guide/compare/breast-size-chart/,52,121,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+Article+Person+BreadcrumbList+ListItem",125,6,OK
/bra-size-guide/compare/c-cup-vs-d-cup/,51,127,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",132,6,OK
/bra-size-guide/compare/d-cup-vs-dd-cup/,52,128,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",132,6,OK
/bra-size-guide/compare/dd-cup-vs-ddd-cup/,54,130,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",129,6,OK
/bra-size-guide/compare/,55,159,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+BreadcrumbList+ListItem",132,6,OK
/bra-size-guide/compare/wireless-vs-wired-bra/,57,144,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",130,6,OK
/bra-size-guide/h-cup/,52,121,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+Article+Person+BreadcrumbList+ListItem",125,6,OK
/bra-size-guide/,58,136,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+Article+Person+BreadcrumbList+ListItem",171,6,OK
/breast-volume/,60,156,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+Article+Person+BreadcrumbList+ListItem",126,6,OK
/guide/comfortable-wireless-bras/,55,123,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+Article+Person+BreadcrumbList+ListItem",124,6,OK
/guide/no-underwire-bras/,54,126,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+Article+Person+BreadcrumbList+ListItem",124,6,OK
/header-wellness-popup.html,47,105,false,1,"",23,3,DESC_SHORT,NO_CANONICAL,NO_OG_TITLE,NO_OG_DESC,NO_TW_TITLE,NO_SCHEMA
/how-to-measure-bra-size/,56,151,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+HowTo+HowToTool+HowToSupply+HowToStep+BreadcrumbList+ListItem",121,6,OK
/,52,140,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+HowTo+MonetaryAmount+HowToTool+HowToStep+FAQPage+Question+Answer",165,5,OK
/privacy/,34,153,true,1,"BreadcrumbList+ListItem",139,6,OK
/specials/accessory-breast-guide/,50,138,true,1,"Article+Person+Organization+BreadcrumbList+ListItem",139,6,OK
/specials/buying-guide/,60,145,true,1,"BreadcrumbList+ListItem",143,9,OK
/specials/expansion-evidence/,55,135,true,1,"BreadcrumbList+ListItem",142,10,OK
/specials/,50,153,true,1,"CollectionPage+BreadcrumbList+ListItem",153,6,OK
/specials/ptosis-prevention-evidence/,46,153,true,1,"BreadcrumbList+ListItem",142,10,OK
/specials/sports-bra-science/,53,124,true,1,"BreadcrumbList+ListItem",142,10,OK
/specials/why-d-cup-support/,42,149,true,1,"Article+Person+Organization+BreadcrumbList+ListItem",143,15,OK
/sports-bra-guide/,55,151,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+BreadcrumbList+ListItem",122,6,OK
/terms/,32,141,true,1,"BreadcrumbList+ListItem",139,6,OK
/tools/breast-expansion-calculator/,52,151,true,1,"SoftwareApplication+Offer+BreadcrumbList+ListItem+HowTo+HowToStep+FAQPage+Question+Answer",175,7,OK
/tools/breast-ptosis-calculator/,60,154,true,1,"SoftwareApplication+Offer+BreadcrumbList+ListItem+HowTo+HowToStep+FAQPage+Question+Answer",175,9,OK
/tools/breast-shape-calculator/,52,155,true,1,"SoftwareApplication+Offer+BreadcrumbList+ListItem+HowTo+HowToStep+FAQPage+Question+Answer",174,6,OK
/tools/breast-volume-calculator/,48,151,true,1,"SoftwareApplication+Offer+BreadcrumbList+ListItem+HowTo+HowToStep+FAQPage+Question+Answer",176,10,OK
/tools/breast-weight-calculator/,51,158,true,1,"SoftwareApplication+Offer+BreadcrumbList+ListItem+HowTo+HowToStep+FAQPage+Question+Answer",174,6,OK
/tools/,37,136,true,1,"CollectionPage+WebSite+BreadcrumbList+ListItem",36,4,OK
/tools/length-converter/,51,132,true,1,"SoftwareApplication+Offer+BreadcrumbList+ListItem+HowTo+HowToStep+FAQPage+Question+Answer",173,6,OK
/tools/weight-converter/,58,136,true,1,"SoftwareApplication+Offer+BreadcrumbList+ListItem+HowTo+HowToStep+FAQPage+Question+Answer",174,6,OK
/wellness/bra-care-after-surgery/,53,142,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/bra-discomfort-after-surgery/,50,148,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/bra-tightness-after-surgery/,51,149,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/breast-self-exam/,49,153,true,1,"BreadcrumbList+ListItem+Article+Person+Organization+ImageObject+FAQPage+Question+Answer",115,23,OK
/wellness/compression-vs-support-bras/,45,158,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/front-vs-back-closure-bras/,48,158,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/,61,130,true,1,"BreadcrumbList+ListItem+CollectionPage+WebSite+FAQPage+Question+Answer",142,6,OK
/wellness/mastectomy-bra-guide/,50,153,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/pocketed-bras-guide/,50,138,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/post-surgery-bra-mistakes/,46,158,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/post-surgery-bra-recovery-timeline/,55,150,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/prosthetic-bras-guide/,59,141,true,1,"BreadcrumbList+ListItem",144,6,OK
/wellness/sensitive-skin-bra-materials/,48,156,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/sleeping-after-breast-surgery/,52,154,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
/wellness/sports-bras-after-surgery/,51,147,true,1,"BreadcrumbList+ListItem",144,6,OK
/wellness/swelling-after-surgery-bras/,53,131,true,1,"BreadcrumbList+ListItem+Article+Organization+ImageObject+FAQPage+Question+Answer",115,6,OK
